Button ID,x0,y0,x1,y1,Parent ID,xp,yp,zp,q1,q2,q3,q4,Idx,
S1Y_+1,22,36,-22,-36,70,-47,0,0,1,0,0,0,UpCondensed,S1Y_+1
S1Y_-1,22,36,-22,-36,70,-47,94,0,1,0,0,0,DownCondensed,S1Y_-1
S1X_-1,30,22,-22,-30,70,-94,47,0,1,0,0,0,LeftCondensed,S1X_-1
S1X_+1,22,30,-30,-22,70,0,47,0,1,0,0,0,RightCondensed,S1X_+1
TR,22,20,-30,-36,70,0,94,0,1,0,0,0,CloserCondensed,
TL,30,36,-22,-20,70,-94,0,0,1,0,0,0,FartherCondensed,
S1Y_+1,22,36,-22,-36,71,47,-94,0,1,0,0,0,UpCondensed,S1Y_+1
S1Y_-1,22,36,-22,-36,71,47,0,0,1,0,0,0,DownCondensed,S1Y_-1
S1X_-1,30,22,-22,-30,71,0,-47,0,1,0,0,0,LeftCondensed,S1X_-1
S1X_+1,22,30,-30,-22,71,94,-47,0,1,0,0,0,RightCondensed,S1X_+1
TR,22,20,-30,-36,71,94,0,0,1,0,0,0,CloserCondensed,
TL,30,36,-22,-20,71,0,-94,0,1,0,0,0,FartherCondensed,
A,32,32,-32,-32,73,47,0,0,1,0,0,0,OpenMini,
B,32,32,-32,-32,73,-47,0,0,1,0,0,0,CloseMini,
